Date,Open,High,Low,Close,Volume,Adj Close
2015-11-19,0.45,0.46,0.43,0.45,10200,4.488253
2015-11-18,0.44,0.45,0.44,0.44,12500,4.388514
2015-11-17,0.43,0.44,0.43,0.43,8700,4.288775
2015-11-16,0.45,0.45,0.42,0.43,28700,4.288775
2015-11-13,0.45,0.45,0.45,0.45,25900,4.488253
2015-11-12,0.47,0.47,0.45,0.45,7000,4.488253
2015-11-11,0.48,0.48,0.47,0.48,28400,4.78747
2015-11-10,0.47,0.49,0.47,0.48,5900,4.78747
2015-11-09,0.48,0.48,0.48,0.48,5300,4.78747
2015-11-06,0.47,0.48,0.47,0.47,18400,4.687731
2015-11-05,0.49,0.49,0.48,0.48,8100,4.78747
2015-11-04,0.47,0.49,0.47,0.49,11000,4.887209
2015-11-03,0.47,0.47,0.47,0.47,5900,4.687731
2015-11-02,0.50,0.50,0.48,0.48,10200,4.78747
2015-10-30,0.51,0.51,0.50,0.50,29700,4.986948
2015-10-29,0.47,0.53,0.46,0.51,51100,5.086687
2015-10-28,0.46,0.47,0.45,0.46,6100,4.587992
2015-10-27,0.45,0.46,0.45,0.46,9400,4.587992
2015-10-26,0.48,0.49,0.45,0.46,32600,4.587992
2015-10-23,0.48,0.48,0.47,0.48,8100,4.78747
2015-10-22,0.50,0.50,0.48,0.48,13400,4.78747
2015-10-21,0.49,0.49,0.49,0.49,000,4.887209
2015-10-20,0.47,0.49,0.46,0.49,19000,4.887209
2015-10-19,0.50,0.50,0.44,0.45,43400,4.488253
2015-10-16,0.45,0.50,0.45,0.50,64200,4.986948
2015-10-15,0.42,0.44,0.42,0.44,8600,4.388514
2015-10-14,0.42,0.43,0.42,0.43,2700,4.288775
2015-10-13,0.43,0.43,0.42,0.42,2700,4.189036
2015-10-09,0.42,0.42,0.42,0.42,1300,4.189036
2015-10-08,0.42,0.43,0.42,0.42,30300,4.189036
2015-10-07,0.42,0.42,0.41,0.42,6000,4.189036
2015-10-06,0.43,0.44,0.42,0.42,14400,4.189036
2015-10-05,0.42,0.42,0.42,0.42,7000,4.189036
2015-10-02,0.43,0.44,0.42,0.42,5400,4.189036
2015-10-01,0.44,0.44,0.42,0.42,7400,4.189036
2015-09-30,0.43,0.43,0.42,0.42,8500,4.189036
2015-09-29,0.44,0.44,0.43,0.43,16000,4.288775
2015-09-28,0.44,0.45,0.44,0.44,10800,4.388514
2015-09-25,0.44,0.45,0.44,0.44,3500,4.388514
2015-09-24,0.46,0.46,0.44,0.44,7100,4.388514
2015-09-23,0.45,0.46,0.45,0.46,5400,4.587992
2015-09-22,0.44,0.46,0.44,0.45,2700,4.488253
2015-09-21,0.44,0.46,0.43,0.46,25200,4.587992
2015-09-18,0.44,0.44,0.44,0.44,14900,4.388514
2015-09-17,0.44,0.45,0.44,0.44,8600,4.388514
2015-09-16,0.45,0.45,0.44,0.44,22700,4.388514
2015-09-15,0.45,0.46,0.45,0.46,13900,4.587992
2015-09-14,0.45,0.46,0.45,0.46,5800,4.587992
2015-09-11,0.46,0.46,0.45,0.45,2700,4.488253
2015-09-10,0.45,0.46,0.45,0.46,3000,4.587992
2015-09-09,0.46,0.46,0.45,0.45,11500,4.488253
2015-09-08,0.46,0.46,0.45,0.46,9200,4.587992
2015-09-04,0.45,0.46,0.45,0.45,22200,4.488253
2015-09-03,0.45,0.45,0.45,0.45,6400,4.488253
2015-09-02,0.47,0.47,0.44,0.46,13100,4.587992
2015-09-01,0.45,0.48,0.45,0.48,11400,4.78747
2015-08-31,0.45,0.47,0.45,0.45,25800,4.488253
2015-08-28,0.45,0.46,0.44,0.45,13700,4.488253
2015-08-27,0.46,0.46,0.45,0.45,10700,4.488253
2015-08-26,0.46,0.46,0.45,0.45,12200,4.488253
2015-08-25,0.45,0.46,0.44,0.45,27600,4.488253
2015-08-24,0.47,0.49,0.44,0.45,48400,4.488253
2015-08-21,0.49,0.50,0.47,0.49,27200,4.887209
2015-08-20,0.50,0.50,0.49,0.50,15600,4.986948
2015-08-19,0.51,0.51,0.47,0.48,40100,4.78747
2015-08-18,0.52,0.53,0.49,0.51,42300,5.086687
2015-08-17,0.50,0.55,0.50,0.51,54900,5.086687
2015-08-14,0.49,0.50,0.48,0.49,12900,4.887209
2015-08-13,0.50,0.51,0.49,0.49,28100,4.887209
2015-08-12,0.50,0.51,0.47,0.51,23700,5.086687
2015-08-11,0.50,0.51,0.49,0.49,14000,4.887209
2015-08-10,0.46,0.53,0.46,0.48,42300,4.78747
2015-08-07,0.47,0.48,0.46,0.46,4000,4.587992
2015-08-06,0.46,0.48,0.46,0.48,14200,4.78747
2015-08-05,0.44,0.46,0.43,0.46,34800,4.587992
2015-08-04,0.43,0.44,0.43,0.43,31000,4.288775
2015-07-31,0.44,0.44,0.42,0.43,19700,4.288775
2015-07-30,0.44,0.44,0.43,0.43,14600,4.288775
2015-07-29,0.42,0.43,0.42,0.43,33100,4.288775
2015-07-28,0.43,0.44,0.42,0.43,7900,4.288775
2015-07-27,0.43,0.44,0.43,0.43,9000,4.288775
2015-07-24,0.43,0.44,0.43,0.43,3500,4.288775
2015-07-23,0.43,0.44,0.43,0.43,9000,4.288775
2015-07-22,0.43,0.44,0.43,0.44,4300,4.388514
2015-07-21,0.44,0.44,0.42,0.44,15400,4.388514
2015-07-20,0.45,0.45,0.43,0.44,8500,4.388514
2015-07-17,0.45,0.45,0.44,0.45,16900,4.488253
2015-07-16,0.44,0.45,0.44,0.45,26300,4.488253
2015-07-15,0.43,0.45,0.43,0.45,17100,4.488253
2015-07-14,0.43,0.44,0.43,0.44,6500,4.388514
2015-07-13,0.43,0.43,0.42,0.43,5300,4.288775
2015-07-10,0.43,0.43,0.42,0.43,11600,4.288775
2015-07-09,0.42,0.43,0.42,0.42,35500,4.189036
2015-07-08,0.41,0.42,0.41,0.41,19600,4.089297
2015-07-07,0.42,0.43,0.41,0.42,25200,4.189036
2015-07-06,0.42,0.42,0.41,0.42,22300,4.189036
2015-07-03,0.41,0.42,0.41,0.42,7300,4.189036
2015-07-02,0.42,0.43,0.40,0.41,41400,4.089297
2015-06-30,0.41,0.42,0.41,0.42,16900,4.189036
2015-06-29,0.42,0.42,0.41,0.41,16200,4.089297
2015-06-26,0.44,0.44,0.42,0.44,9500,4.388514
2015-06-25,0.44,0.44,0.43,0.44,49300,4.388514
2015-06-24,0.44,0.44,0.43,0.44,6300,4.388514
2015-06-23,0.44,0.44,0.43,0.44,2400,4.388514
2015-06-22,0.42,0.45,0.41,0.44,43800,4.388514
2015-06-19,0.43,0.43,0.42,0.42,6400,4.189036
2015-06-18,0.42,0.43,0.42,0.43,6500,4.288775
2015-06-17,0.44,0.44,0.43,0.43,8400,4.288775
2015-06-16,0.44,0.45,0.43,0.44,10000,4.388514
2015-06-15,0.45,0.45,0.43,0.43,18600,4.288775
2015-06-12,0.41,0.46,0.41,0.46,26200,4.587992
2015-06-11,0.42,0.42,0.42,0.42,3100,4.189036
2015-06-10,0.41,0.42,0.41,0.41,6400,4.089297
2015-06-09,0.43,0.43,0.42,0.42,4500,4.189036
2015-06-08,0.42,0.42,0.41,0.42,8900,4.189036
2015-06-05,0.41,0.42,0.41,0.41,14200,4.089297
2015-06-04,0.42,0.42,0.41,0.42,5500,4.189036
2015-06-03,0.41,0.42,0.40,0.42,21100,4.189036
2015-06-02,0.40,0.41,0.40,0.40,19100,3.989558
2015-06-01,0.40,0.41,0.40,0.40,9600,3.989558
2015-05-29,0.41,0.42,0.40,0.42,4900,4.189036
2015-05-28,0.41,0.41,0.41,0.41,7000,4.089297
2015-05-27,0.39,0.41,0.39,0.41,17000,4.089297
2015-05-26,0.39,0.40,0.38,0.38,31100,3.79008
2015-05-25,0.39,0.39,0.39,0.39,6300,3.889819
2015-05-22,0.39,0.39,0.39,0.39,6300,3.889819
2015-05-21,0.39,0.39,0.38,0.39,18400,3.889819
