Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,72.055000,73.275002,72.035004,72.688507,72.964996,702400
2015-05-19,null,null,null,null,null,null
2015-05-20,null,null,null,null,null,null
2015-05-21,null,null,null,null,null,null
2015-05-22,null,null,null,null,null,null
2015-05-26,null,null,null,null,null,null
2015-05-27,null,null,null,null,null,null
2015-05-28,null,null,null,null,null,null
2015-05-29,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-06-02,null,null,null,null,null,null
2015-06-03,71.699997,72.410004,71.070000,71.348610,71.620003,2523700
2015-06-04,null,null,null,null,null,null
2015-06-05,null,null,null,null,null,null
2015-06-08,null,null,null,null,null,null
2015-06-09,null,null,null,null,null,null
2015-06-10,null,null,null,null,null,null
2015-06-11,null,null,null,null,null,null
2015-06-12,null,null,null,null,null,null
2015-06-15,null,null,null,null,null,null
2015-06-16,null,null,null,null,null,null
2015-06-17,null,null,null,null,null,null
2015-06-18,null,null,null,null,null,null
2015-06-19,null,null,null,null,null,null
2015-06-22,null,null,null,null,null,null
2015-06-23,72.699997,73.019997,72.150002,72.354774,72.629997,1261100
2015-06-24,null,null,null,null,null,null
2015-06-25,null,null,null,null,null,null
2015-06-26,null,null,null,null,null,null
2015-06-29,68.559998,69.339996,65.830002,65.703705,65.940002,5345500
2015-06-30,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-07-02,68.459999,68.650002,67.220001,67.427498,67.669998,2273700
2015-07-06,null,null,null,null,null,null
2015-07-07,null,null,null,null,null,null
2015-07-08,66.809998,67.150002,64.669998,64.707283,64.940002,5222500
2015-07-09,67.349998,67.599998,65.209999,65.026138,65.260002,3368600
2015-07-10,null,null,null,null,null,null
2015-07-13,null,null,null,null,null,null
2015-07-14,null,null,null,null,null,null
2015-07-15,null,null,null,null,null,null
2015-07-16,null,null,null,null,null,null
2015-07-17,null,null,null,null,null,null
2015-07-20,null,null,null,null,null,null
2015-07-21,72.559998,72.919998,71.529999,71.612450,71.870003,2043200
2015-07-22,null,null,null,null,null,null
2015-07-23,null,null,null,null,null,null
2015-07-24,70.370003,70.470001,67.720001,67.885849,68.129997,3251800
2015-07-27,67.099998,67.650002,66.410004,66.670227,66.910004,3002400
2015-07-28,null,null,null,null,null,null
2015-07-29,null,null,null,null,null,null
2015-07-30,null,null,null,null,null,null
2015-07-31,null,null,null,null,null,null
2015-08-03,null,null,null,null,null,null
2015-08-04,null,null,null,null,null,null
2015-08-05,null,null,null,null,null,null
2015-08-06,null,null,null,null,null,null
2015-08-07,null,null,null,null,null,null
2015-08-10,69.230003,70.580002,69.230003,70.197533,70.449997,2221400
2015-08-11,null,null,null,null,null,null
2015-08-12,67.029999,69.029999,65.330002,68.503632,68.750000,5092600
2015-08-13,null,null,null,null,null,null
2015-08-14,null,null,null,null,null,null
2015-08-17,null,null,null,null,null,null
2015-08-18,null,null,null,null,null,null
2015-08-19,68.910004,69.849998,67.220001,67.965569,68.209999,6316500
2015-08-20,66.419998,67.019997,63.840000,63.671013,63.900002,5711700
2015-08-21,null,null,null,null,null,null
2015-08-24,null,null,null,null,null,null
2015-08-25,56.009998,56.009998,48.759998,48.664978,48.840000,6697700
2015-08-26,52.660000,54.810001,49.799999,54.404335,54.599998,7728200
2015-08-27,null,null,null,null,null,null
2015-08-28,57.970001,59.130001,57.439999,58.479679,58.689999,6174600
2015-08-31,57.599998,58.500000,56.630001,56.995018,57.200001,3304500
2015-09-01,null,null,null,null,null,null
2015-09-02,null,null,null,null,null,null
2015-09-03,null,null,null,null,null,null
2015-09-04,null,null,null,null,null,null
2015-09-08,null,null,null,null,null,null
2015-09-09,null,null,null,null,null,null
2015-09-10,null,null,null,null,null,null
2015-09-11,null,null,null,null,null,null
2015-09-14,null,null,null,null,null,null
2015-09-15,null,null,null,null,null,null
2015-09-16,null,null,null,null,null,null
2015-09-17,null,null,null,null,null,null
2015-09-18,null,null,null,null,null,null
2015-09-21,null,null,null,null,null,null
2015-09-22,null,null,null,null,null,null
2015-09-23,54.500000,54.950001,53.470001,53.796524,53.990002,4566000
2015-09-24,null,null,null,null,null,null
2015-09-25,null,null,null,null,null,null
2015-09-28,null,null,null,null,null,null
2015-09-29,null,null,null,null,null,null
2015-09-30,51.200001,52.369999,50.500000,52.072720,52.259998,7673000
2015-10-01,null,null,null,null,null,null
2015-10-02,50.689999,55.000000,50.180000,54.683334,54.880001,7570000
2015-10-05,null,null,null,null,null,null
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
